episode,total_reward,score_reward,hit_reward,loss_penalty,episode_length,player_score,cpu_score,win_flag,running_average,policy_entropy,loss
1,-0.5000000000000071,20.0,0.5000000000000001,-21.0,2739,1,21,0,-0.5000000000000071,,
2,-20.580000000000005,0,0.4200000000000001,-21.0,2414,0,21,0,-1.504000000000007,,
3,-20.60000000000001,0,0.4000000000000001,-21.0,2336,0,21,0,-2.458800000000007,,
4,-20.60000000000001,0,0.4000000000000001,-21.0,2344,0,21,0,-3.3658600000000076,,
5,-20.60000000000001,0,0.4000000000000001,-21.0,2346,0,21,0,-4.227567000000008,,
6,-20.580000000000005,0,0.4200000000000001,-21.0,2408,0,21,0,-5.045188650000007,,
7,-20.580000000000005,0,0.4200000000000001,-21.0,2424,0,21,0,-5.821929217500006,,
8,-20.60000000000001,0,0.4000000000000001,-21.0,2346,0,21,0,-6.560832756625006,,
9,-20.580000000000005,0,0.4200000000000001,-21.0,2420,0,21,0,-7.261791118793756,,
10,-20.580000000000005,0,0.4200000000000001,-21.0,2410,0,21,0,-7.927701562854068,,
11,-20.580000000000005,0,0.4200000000000001,-21.0,2408,0,21,0,-8.560316484711365,,
12,-20.580000000000005,0,0.4200000000000001,-21.0,2418,0,21,0,-9.161300660475796,,
13,-20.60000000000001,0,0.4000000000000001,-21.0,2344,0,21,0,-9.733235627452007,,
14,-20.60000000000001,0,0.4000000000000001,-21.0,2348,0,21,0,-10.276573846079408,,
15,-20.60000000000001,0,0.4000000000000001,-21.0,2350,0,21,0,-10.792745153775439,,
16,-20.60000000000001,0,0.4000000000000001,-21.0,2346,0,21,0,-11.283107896086667,,
17,-20.60000000000001,0,0.4000000000000001,-21.0,2344,0,21,0,-11.748952501282334,,
18,-20.580000000000005,0,0.4200000000000001,-21.0,2414,0,21,0,-12.190504876218217,,
19,-20.580000000000005,0,0.4200000000000001,-21.0,2416,0,21,0,-12.609979632407306,,
20,-20.580000000000005,0,0.4200000000000001,-21.0,2414,0,21,0,-13.00848065078694,,
21,-20.580000000000005,0,0.4200000000000001,-21.0,2422,0,21,0,-13.387056618247591,,
22,-20.540000000000006,0,0.46000000000000013,-21.0,2558,0,21,0,-13.744703787335212,,
23,-20.580000000000005,0,0.4200000000000001,-21.0,2416,0,21,0,-14.08646859796845,,
24,-0.5800000000000054,20.0,0.4200000000000001,-21.0,2451,1,21,0,-13.411145168070027,,
25,-20.60000000000001,0,0.4000000000000001,-21.0,2348,0,21,0,-13.770587909666526,,
26,-0.5800000000000072,20.0,0.4200000000000001,-21.0,2449,1,21,0,-13.111058514183199,,
27,-20.56000000000001,0,0.4400000000000001,-21.0,2469,0,21,0,-13.483505588474038,,
28,-0.4600000000000053,20.0,0.5400000000000001,-21.0,2861,1,21,0,-12.832330309050336,,
29,-0.5400000000000063,20.0,0.46000000000000013,-21.0,2520,1,21,0,-12.21771379359782,,
