Epoch,Episodes,Pos_0,Pos_1,Pos_2,Pos_3,Pos_4,Pos_5,Pos_6,Pos_7,Pos_8,Pos_9,Pos_10,Pos_11
0,1-200,103,85,7,86,7,80,5,100,4,98,16,143
1,201-400,353,245,36,259,40,286,23,261,19,300,51,358
2,401-600,418,222,55,366,52,331,24,330,14,447,39,460
3,601-800,378,230,74,401,37,325,35,372,9,580,28,515
4,801-1000,492,147,41,407,43,291,20,320,2,826,10,536
5,1001-1200,593,87,32,499,33,257,14,283,2,1020,6,609
6,1201-1400,750,31,11,468,13,214,1,177,0,1066,0,614
7,1401-1600,795,35,5,507,34,171,2,153,0,1130,0,658
8,1601-1800,794,22,5,520,26,133,2,147,0,1207,0,777
9,1801-2000,846,6,2,523,30,100,0,145,0,1335,0,817
10,2001-2200,1011,2,1,413,10,57,0,70,0,1322,0,880
11,2201-2400,1133,1,0,440,5,51,0,34,0,1399,0,959
12,2401-2600,1147,0,4,442,1,24,2,54,0,1482,1,1053
13,2601-2800,1260,1,0,432,0,18,1,33,0,1459,1,1024
14,2801-3000,1273,0,1,407,0,7,0,23,0,1635,0,1280
15,3001-3200,1284,0,2,382,0,4,2,15,0,1601,0,1291
16,3201-3400,1309,0,4,388,0,0,3,13,0,1677,2,1416
17,3401-3600,1450,0,0,318,0,0,0,6,0,1678,0,1422
18,3601-3800,1486,0,0,334,0,0,0,4,0,1656,0,1400
19,3801-4000,1433,0,0,353,0,1,0,14,0,1684,0,1432
20,4001-4200,1527,0,0,289,0,1,0,4,0,1734,0,1544
21,4201-4400,1564,0,0,266,0,0,0,1,0,1784,0,1555
22,4401-4600,1481,0,0,261,0,1,0,1,0,1769,0,1590
23,4601-4800,1621,0,0,275,0,0,0,1,0,1738,0,1566
24,4801-5000,1606,0,0,241,0,0,0,0,0,1751,0,1604
25,5001-5200,1696,0,0,212,0,0,0,3,0,1767,0,1643
26,5201-5400,1692,0,0,243,0,0,0,2,0,1772,0,1675
27,5401-5600,1670,0,0,233,0,0,0,0,0,1830,0,1716
28,5601-5800,1683,0,0,179,0,0,0,1,0,1787,0,1668
29,5801-6000,1686,0,0,232,1,0,0,4,0,1858,0,1687
30,6001-6200,1757,0,0,220,0,0,0,2,0,1816,0,1686
31,6201-6400,1814,0,0,163,1,0,0,1,0,1826,0,1720
32,6401-6600,1710,0,0,234,0,0,0,0,0,1778,0,1603
33,6601-6800,1804,0,0,166,0,0,0,0,0,1851,0,1665
34,6801-7000,1824,0,0,180,0,0,0,0,0,1865,0,1686
35,7001-7200,1783,0,0,148,0,0,0,0,0,1891,0,1791
36,7201-7400,1837,0,0,160,0,0,0,0,0,1765,0,1687
37,7401-7600,1821,0,0,114,0,0,0,1,0,1848,0,1754
38,7601-7800,1838,0,0,149,0,0,0,0,0,1776,0,1709
39,7801-8000,1848,0,0,145,0,0,0,8,0,1882,3,1809
40,8001-8200,1847,0,0,126,0,0,1,3,0,1900,1,1851
41,8201-8400,1866,0,0,167,0,0,0,0,0,1907,0,1829
42,8401-8600,1855,0,0,116,0,0,1,5,0,1942,0,1872
43,8601-8800,1875,0,0,98,0,0,0,5,0,1880,1,1830
44,8801-9000,1924,0,0,98,0,0,0,2,0,1871,2,1830
45,9001-9200,1864,0,0,95,0,0,0,0,0,1962,0,1926
46,9201-9400,1898,0,0,124,0,0,0,0,0,1946,0,1906
47,9401-9600,1910,0,0,72,0,0,0,0,0,1929,0,1877
48,9601-9800,1875,0,0,100,0,0,0,0,0,1932,0,1864
49,9801-10000,1890,0,0,144,0,0,0,0,0,1937,0,1841
50,10001-10200,1894,0,0,137,0,0,0,0,0,1959,0,1885
51,10201-10400,1976,0,0,71,0,0,0,0,0,1932,0,1870
52,10401-10600,1902,0,0,98,0,0,0,0,0,1965,0,1910
53,10601-10800,1839,0,0,162,0,0,0,0,0,1936,0,1883
54,10801-11000,1911,0,0,143,0,0,0,0,0,1898,0,1839
55,11001-11200,1912,0,0,122,0,0,0,0,0,1911,0,1865
56,11201-11400,1872,0,0,124,0,0,0,0,0,1927,0,1889
57,11401-11600,1889,0,0,69,0,0,0,0,0,1958,0,1888
58,11601-11800,1925,0,0,107,0,0,0,0,0,1933,0,1875
59,11801-12000,1832,0,0,149,0,0,0,0,0,1956,0,1899
60,12001-12200,1702,0,0,290,0,0,0,3,0,1898,0,1836
61,12201-12400,1752,0,0,161,0,0,0,2,0,1996,0,1970
62,12401-12600,1915,0,0,78,0,0,0,0,0,1987,0,1967
63,12601-12800,1839,0,0,137,0,0,0,0,0,1857,0,1830
64,12801-13000,1944,0,0,85,0,0,0,0,0,1967,0,1944
65,13001-13200,1931,0,0,100,0,0,0,0,0,1988,0,1945
66,13201-13400,1955,0,0,91,0,0,0,0,0,1966,0,1921
67,13401-13600,1964,0,0,39,0,0,0,0,0,1984,0,1961
68,13601-13800,1998,0,1,48,0,0,0,4,0,1917,1,1908
69,13801-14000,1939,0,0,111,0,0,0,0,0,2012,0,1968
70,14001-14200,1976,0,0,60,0,0,0,0,0,1951,0,1927
71,14201-14400,1923,0,0,105,0,0,0,0,0,1974,0,1924
72,14401-14600,2024,0,0,49,0,0,0,0,0,1878,0,1856
73,14601-14800,1977,0,0,48,0,0,0,0,0,1960,0,1934
74,14801-15000,1943,0,0,103,0,0,0,0,0,1915,0,1860
75,15001-15200,1900,0,0,61,0,0,0,0,0,2025,0,1971
76,15201-15400,1913,0,0,80,0,0,0,0,0,1962,0,1911
77,15401-15600,1863,0,0,96,3,0,0,3,0,1992,0,1973
78,15601-15800,1941,0,0,51,0,1,0,0,0,1954,0,1906
79,15801-16000,1933,0,0,38,0,0,0,0,0,2050,0,2011
80,16001-16200,1965,0,0,48,0,0,0,1,0,1983,0,1943
81,16201-16400,1999,0,0,103,0,0,0,2,0,1916,0,1880
82,16401-16600,2001,0,0,37,0,0,0,1,0,1975,0,1961
83,16601-16800,1917,0,0,120,0,0,1,7,0,1932,0,1921
84,16801-17000,1961,0,1,73,0,0,0,3,0,1967,0,1919
85,17001-17200,1890,0,0,57,0,0,0,0,0,1978,0,1966
86,17201-17400,1995,0,0,89,0,0,0,0,0,1949,0,1922
87,17401-17600,1961,0,0,38,0,0,0,0,0,2010,0,1984
88,17601-17800,1960,0,0,82,0,0,0,0,0,1957,0,1930
89,17801-18000,1991,0,0,38,0,0,0,0,0,1960,0,1925
90,18001-18200,1903,0,0,62,0,0,0,0,0,2021,0,1981
91,18201-18400,1852,0,0,79,5,0,0,5,0,2009,0,1972
92,18401-18600,1958,0,0,49,0,0,0,0,0,1959,0,1953
93,18601-18800,1955,0,0,70,0,0,0,0,0,1989,0,1964
94,18801-19000,1951,0,0,87,3,0,0,3,0,1993,0,1957
95,19001-19200,1965,0,0,51,1,1,0,1,0,1998,0,1981
96,19201-19400,1942,0,0,47,0,0,0,0,0,2001,0,1981
97,19401-19600,1995,0,0,65,0,0,0,0,0,1973,0,1952
98,19601-19800,2007,0,0,39,0,0,0,0,0,1923,0,1913
99,19801-20000,1931,0,0,66,0,0,0,0,0,2039,0,2010
TOTAL,1-20000,167854,1114,282,17512,345,2354,137,2633,50,177137,162,166070
