Epoch,Episodes,Total_Hits,Top_Edge,Center,Bottom_Edge,Edge_Hits,Edge_Percent,Avg_Angle
0,1-200,1030,282,404,344,626,60.8,45.1
1,201-400,2632,709,1136,787,1496,56.8,42.6
2,401-600,3110,836,1368,906,1742,56.0,42.2
3,601-800,3212,1016,1446,750,1766,55.0,41.4
4,801-1000,3204,917,1408,879,1796,56.1,41.4
5,1001-1200,3359,896,1372,1091,1987,59.2,42.2
6,1201-1400,3273,595,1158,1520,2115,64.6,44.9
7,1401-1600,3180,646,1074,1460,2106,66.2,45.7
8,1601-1800,3177,657,1116,1404,2061,64.9,45.9
9,1801-2000,3280,679,1088,1513,2192,66.8,46.1
10,2001-2200,3597,728,1279,1590,2318,64.4,44.7
11,2201-2400,3448,756,792,1900,2656,77.0,50.0
12,2401-2600,3625,788,933,1904,2692,74.3,49.3
13,2601-2800,3622,816,800,2006,2822,77.9,50.8
14,2801-3000,3687,843,775,2069,2912,79.0,51.4
15,3001-3200,3865,869,738,2258,3127,80.9,52.4
16,3201-3400,3870,991,639,2240,3231,83.5,53.9
17,3401-3600,4057,948,679,2430,3378,83.3,53.6
18,3601-3800,4073,1029,596,2448,3477,85.4,54.6
19,3801-4000,4229,1090,527,2612,3702,87.5,55.8
20,4001-4200,4334,1105,539,2690,3795,87.6,55.6
21,4201-4400,4376,1211,417,2748,3959,90.5,57.1
22,4401-4600,4480,1267,420,2793,4060,90.6,57.3
23,4601-4800,4633,1294,395,2944,4238,91.5,57.6
24,4801-5000,4596,1289,358,2949,4238,92.2,58.0
25,5001-5200,4560,1273,291,2996,4269,93.6,58.6
26,5201-5400,4844,1411,310,3123,4534,93.6,58.8
27,5401-5600,4845,1495,276,3074,4569,94.3,59.4
28,5601-5800,4845,1533,213,3099,4632,95.6,59.8
29,5801-6000,5080,1550,187,3343,4893,96.3,60.1
30,6001-6200,5041,1586,151,3304,4890,97.0,60.6
31,6201-6400,5212,1617,194,3401,5018,96.3,60.4
32,6401-6600,5268,1687,185,3396,5083,96.5,60.6
33,6601-6800,5299,1705,168,3426,5131,96.8,60.8
34,6801-7000,5414,1729,116,3569,5298,97.9,61.0
35,7001-7200,5453,1745,78,3630,5375,98.6,61.3
36,7201-7400,5480,1820,89,3571,5391,98.4,61.6
37,7401-7600,5429,1821,74,3534,5355,98.6,61.7
38,7601-7800,5508,1778,107,3623,5401,98.1,61.4
39,7801-8000,5662,1833,129,3700,5533,97.7,61.3
40,8001-8200,5676,1805,159,3712,5517,97.2,61.0
41,8201-8400,5545,1846,103,3596,5442,98.1,61.5
42,8401-8600,5717,1839,95,3783,5622,98.3,61.5
43,8601-8800,5658,1881,57,3720,5601,99.0,61.9
44,8801-9000,5623,1840,77,3706,5546,98.6,61.6
45,9001-9200,5651,1817,67,3767,5584,98.8,61.7
46,9201-9400,5487,1806,53,3628,5434,99.0,61.9
47,9401-9600,5397,1780,106,3511,5291,98.0,61.4
48,9601-9800,5580,1808,170,3602,5410,97.0,61.0
