Epoch,Episodes,Total_Hits,Top_Edge,Center,Bottom_Edge,Edge_Hits,Edge_Percent,Avg_Angle
0,1-200,1168,267,535,366,633,54.2,41.6
1,201-400,2121,535,910,676,1211,57.1,42.7
2,401-600,2641,574,1160,907,1481,56.1,42.2
3,601-800,2999,721,1257,1021,1742,58.1,42.3
4,801-1000,3065,645,1246,1174,1819,59.3,42.5
5,1001-1200,2963,672,1038,1253,1925,65.0,44.6
6,1201-1400,3123,685,1029,1409,2094,67.1,46.0
7,1401-1600,3367,731,1141,1495,2226,66.1,45.5
8,1601-1800,3315,722,1012,1581,2303,69.5,46.6
9,1801-2000,3345,735,885,1725,2460,73.5,48.7
10,2001-2200,3484,784,929,1771,2555,73.3,48.6
11,2201-2400,3455,823,859,1773,2596,75.1,49.6
12,2401-2600,3567,782,940,1845,2627,73.6,48.8
13,2601-2800,3510,819,803,1888,2707,77.1,50.9
14,2801-3000,3627,830,810,1987,2817,77.7,51.0
15,3001-3200,3699,774,810,2115,2889,78.1,50.6
16,3201-3400,3510,847,651,2012,2859,81.5,52.8
17,3401-3600,3794,855,748,2191,3046,80.3,52.0
18,3601-3800,3908,972,748,2188,3160,80.9,52.7
19,3801-4000,4050,1003,676,2371,3374,83.3,53.8
20,4001-4200,4048,1060,555,2433,3493,86.3,55.3
21,4201-4400,4166,1140,497,2529,3669,88.1,56.3
22,4401-4600,4311,1164,468,2679,3843,89.1,56.7
23,4601-4800,4418,1250,407,2761,4011,90.8,57.6
24,4801-5000,4535,1253,526,2756,4009,88.4,56.6
25,5001-5200,4585,1219,470,2896,4115,89.7,57.1
26,5201-5400,4572,1334,369,2869,4203,91.9,58.2
27,5401-5600,4647,1296,409,2942,4238,91.2,57.9
28,5601-5800,4749,1379,342,3028,4407,92.8,58.7
29,5801-6000,5021,1469,316,3236,4705,93.7,59.2
30,6001-6200,5019,1504,319,3196,4700,93.6,59.4
31,6201-6400,5078,1486,341,3251,4737,93.3,59.2
32,6401-6600,5073,1548,268,3257,4805,94.7,59.9
33,6601-6800,5112,1589,272,3251,4840,94.7,60.0
34,6801-7000,5275,1645,270,3360,5005,94.9,60.1
35,7001-7200,5297,1677,224,3396,5073,95.8,60.5
36,7201-7400,5423,1686,230,3507,5193,95.8,60.5
37,7401-7600,5285,1709,200,3376,5085,96.2,60.9
38,7601-7800,5411,1604,234,3573,5177,95.7,60.3
39,7801-8000,5429,1676,232,3521,5197,95.7,60.5
40,8001-8200,5518,1729,218,3571,5300,96.0,60.7
41,8201-8400,5529,1774,209,3546,5320,96.2,60.9
42,8401-8600,5466,1796,179,3491,5287,96.7,61.2
43,8601-8800,5408,1822,186,3400,5222,96.6,61.2
44,8801-9000,5597,1810,138,3649,5459,97.5,61.4
45,9001-9200,5676,1728,170,3778,5506,97.0,61.0
46,9201-9400,5638,1896,154,3588,5484,97.3,61.6
47,9401-9600,5618,1833,165,3620,5453,97.1,61.4
48,9601-9800,5703,1774,152,3777,5551,97.3,61.2
49,9801-10000,5750,1848,140,3762,5610,97.6,61.5
50,10001-10200,5771,1834,144,3793,5627,97.5,61.3
51,10201-10400,5695,1822,83,3790,5612,98.5,61.8
52,10401-10600,5746,1894,90,3762,5656,98.4,61.9
53,10601-10800,5869,1836,109,3924,5760,98.1,61.6
54,10801-11000,5756,1932,113,3711,5643,98.0,61.8
55,11001-11200,5784,1898,125,3761,5659,97.8,61.7
56,11201-11400,5839,1907,79,3853,5760,98.6,61.9
57,11401-11600,5849,1903,93,3853,5756,98.4,61.8
58,11601-11800,5869,1939,94,3836,5775,98.4,61.9
59,11801-12000,5778,1906,121,3751,5657,97.9,61.7
60,12001-12200,5867,1883,121,3863,5746,97.9,61.6
61,12201-12400,5906,1810,159,3937,5747,97.3,61.2
62,12401-12600,5830,1820,119,3891,5711,98.0,61.5
63,12601-12800,5813,1850,144,3819,5669,97.5,61.3
64,12801-13000,5799,1902,98,3799,5701,98.3,61.9
65,13001-13200,5851,1824,125,3902,5726,97.9,61.5
66,13201-13400,5822,1948,124,3750,5698,97.9,61.8
67,13401-13600,5885,1793,157,3935,5728,97.3,61.1
68,13601-13800,5949,1824,123,4002,5826,97.9,61.4
69,13801-14000,5955,1919,92,3944,5863,98.5,61.8
70,14001-14200,5824,1975,79,3770,5745,98.6,62.1
71,14201-14400,5931,1941,61,3929,5870,99.0,62.0
72,14401-14600,5919,1959,58,3902,5861,99.0,62.1
73,14601-14800,5979,1947,93,3939,5886,98.4,61.8
74,14801-15000,5948,1947,53,3948,5895,99.1,62.1
75,15001-15200,5981,1957,53,3971,5928,99.1,62.1
76,15201-15400,5936,1990,69,3877,5867,98.8,62.2
77,15401-15600,5957,1938,76,3943,5881,98.7,62.0
78,15601-15800,5934,1989,62,3883,5872,99.0,62.2
79,15801-16000,6019,1990,56,3973,5963,99.1,62.2
80,16001-16200,6042,1966,36,4040,6006,99.4,62.2
