episode,total_reward,score_reward,hit_reward,loss_penalty,episode_length,player_score,cpu_score,win_flag,running_average,policy_entropy,loss
1,19.52000000000001,40.0,0.5200000000000001,-21.0,2802,2,21,0,19.52000000000001,,
2,-20.540000000000006,0,0.46000000000000013,-21.0,2558,0,21,0,17.517000000000007,,
3,-20.44000000000001,0,0.5600000000000002,-21.0,2842,0,21,0,15.619150000000007,,
4,-20.580000000000005,0,0.4200000000000001,-21.0,2408,0,21,0,13.809192500000005,,
5,-0.5600000000000076,20.0,0.4400000000000001,-21.0,2521,1,21,0,13.090732875000004,,
6,-0.5800000000000054,20.0,0.4200000000000001,-21.0,2447,1,21,0,12.407196231250003,,
7,-20.48000000000001,0,0.5200000000000001,-21.0,2713,0,21,0,10.7628364196875,,
8,-0.5200000000000058,20.0,0.48000000000000015,-21.0,2621,1,21,0,10.198694598703126,,
9,-20.52000000000001,0,0.48000000000000015,-21.0,2619,0,21,0,8.662759868767969,,
10,-20.400000000000013,0,0.6000000000000002,-21.0,3027,0,21,0,7.20962187532957,,
11,-20.50000000000001,0,0.5000000000000001,-21.0,2670,0,21,0,5.824140781563091,,
12,-0.5000000000000071,20.0,0.5000000000000001,-21.0,2761,1,21,0,5.507933742484935,,
13,-20.52000000000001,0,0.48000000000000015,-21.0,2594,0,21,0,4.206537055360688,,
14,-20.44000000000001,0,0.5600000000000002,-21.0,2812,0,21,0,2.9742102025926522,,
15,-20.60000000000001,0,0.4000000000000001,-21.0,2346,0,21,0,1.795499692463019,,
16,-20.540000000000006,0,0.46000000000000013,-21.0,2564,0,21,0,0.6787247078398677,,
17,-20.480000000000008,0,0.5200000000000001,-21.0,2717,0,21,0,-0.37921152755212617,,
18,-20.460000000000008,0,0.5400000000000001,-21.0,2852,0,21,0,-1.3832509511745201,,
19,19.499999999999993,40.0,0.5000000000000001,-21.0,2765,2,21,0,-0.3390884036157944,,
20,-20.540000000000006,0,0.46000000000000013,-21.0,2471,0,21,0,-1.3491339834350051,,
21,-20.520000000000007,0,0.48000000000000015,-21.0,2596,0,21,0,-2.3076772842632556,,
22,-20.500000000000007,0,0.5000000000000001,-21.0,2690,0,21,0,-3.217293420050093,,
23,-20.44000000000001,0,0.5600000000000002,-21.0,2818,0,21,0,-4.078428749047589,,
24,-20.580000000000005,0,0.4200000000000001,-21.0,2420,0,21,0,-4.9035073115952095,,
25,-0.5400000000000054,20.0,0.46000000000000013,-21.0,2614,1,21,0,-4.685331946015449,,
26,-20.580000000000005,0,0.4200000000000001,-21.0,2422,0,21,0,-5.480065348714676,,
27,19.519999999999992,40.0,0.5200000000000001,-21.0,2767,2,21,0,-4.230062081278942,,
28,-20.540000000000006,0,0.46000000000000013,-21.0,2562,0,21,0,-5.045558977214995,,
29,-20.540000000000006,0,0.46000000000000013,-21.0,2546,0,21,0,-5.820281028354245,,
30,-20.580000000000005,0,0.4200000000000001,-21.0,2412,0,21,0,-6.558266976936533,,
31,-0.38000000000000655,20.0,0.6200000000000002,-21.0,2986,1,21,0,-6.249353628089707,,
32,-20.42000000000001,0,0.5800000000000002,-21.0,2982,0,21,0,-6.957885946685222,,
33,-20.40000000000001,0,0.6000000000000002,-21.0,2917,0,21,0,-7.629991649350961,,
