Epoch,Episodes,Pos_0,Pos_1,Pos_2,Pos_3,Pos_4,Pos_5,Pos_6,Pos_7,Pos_8,Pos_9,Pos_10,Pos_11
0,1-200,233,131,10,134,19,160,11,186,14,180,42,219
1,201-400,457,263,18,295,44,348,22,334,30,383,70,345
2,401-600,529,228,17,385,44,379,9,325,21,547,42,410
3,601-800,525,175,14,454,48,425,3,348,13,700,39,519
4,801-1000,612,124,5,490,43,382,1,332,7,790,20,536
5,1001-1200,606,41,4,479,28,286,2,280,4,985,8,624
6,1201-1400,661,52,3,469,23,258,1,223,1,1053,8,691
7,1401-1600,753,26,5,470,5,163,0,141,0,1177,2,694
8,1601-1800,851,6,3,538,0,96,0,96,0,1401,0,921
9,1801-2000,938,3,0,491,0,55,0,70,0,1425,0,978
10,2001-2200,1022,2,1,478,1,46,0,61,0,1486,0,1044
11,2201-2400,1085,1,1,463,0,16,0,41,0,1552,0,1128
12,2401-2600,1139,0,2,400,0,10,0,33,0,1515,0,1151
13,2601-2800,1179,0,5,416,0,7,0,44,0,1617,0,1275
14,2801-3000,1257,0,0,393,0,3,0,30,0,1588,0,1277
15,3001-3200,1190,0,7,419,0,0,7,38,0,1684,1,1395
16,3201-3400,1349,0,0,405,0,1,3,15,0,1597,0,1331
17,3401-3600,1433,0,0,335,0,2,0,17,0,1677,0,1368
18,3601-3800,1419,0,0,330,0,5,0,7,0,1709,0,1466
19,3801-4000,1497,0,0,365,1,17,0,8,0,1656,0,1414
20,4001-4200,1561,0,0,287,1,3,0,3,0,1728,1,1551
21,4201-4400,1581,0,0,254,0,3,1,1,0,1742,0,1586
22,4401-4600,1652,0,0,214,0,0,0,2,0,1757,0,1615
23,4601-4800,1619,0,0,238,0,1,0,4,0,1828,0,1678
24,4801-5000,1634,0,0,228,0,3,0,1,0,1843,0,1705
25,5001-5200,1755,0,0,194,0,1,0,2,0,1770,0,1660
26,5201-5400,1727,0,0,192,1,0,1,6,0,1825,0,1709
27,5401-5600,1781,0,0,164,0,1,0,0,0,1872,0,1788
28,5601-5800,1852,0,0,157,0,3,0,0,0,1854,0,1796
29,5801-6000,1816,0,0,155,0,2,0,3,0,1912,0,1846
30,6001-6200,1812,0,0,161,0,1,0,0,0,1935,0,1875
31,6201-6400,1814,0,0,144,0,14,0,0,0,1951,0,1903
32,6401-6600,1899,0,0,118,0,7,0,0,0,1866,0,1818
33,6601-6800,1950,0,0,104,0,1,0,0,0,1890,0,1833
34,6801-7000,1927,0,0,129,0,6,0,0,0,1878,0,1852
35,7001-7200,1848,0,0,117,0,1,0,0,0,1993,0,1957
36,7201-7400,1833,0,0,115,0,0,0,4,0,1978,1,1946
37,7401-7600,1899,0,0,97,0,0,0,3,0,1921,0,1880
38,7601-7800,1928,0,0,86,0,0,0,4,0,1862,0,1793
39,7801-8000,1916,0,0,74,0,0,0,0,0,1918,0,1872
40,8001-8200,1926,0,0,98,0,1,0,0,0,1912,0,1892
41,8201-8400,1908,0,0,114,0,0,0,8,0,1956,0,1922
42,8401-8600,1862,0,0,97,0,6,0,4,0,1998,0,1972
43,8601-8800,1873,0,0,111,0,3,0,4,0,1967,0,1951
44,8801-9000,1883,0,0,115,1,8,0,9,1,1933,0,1915
