episode,total_reward,score_reward,hit_reward,loss_penalty,episode_length,player_score,cpu_score,win_flag,running_average,policy_entropy,loss
1,-0.36000000000000876,20.0,0.6400000000000002,-21.0,3057,1,21,0,-0.36000000000000876,,
2,19.579999999999988,40.0,0.5800000000000002,-21.0,3056,2,21,0,0.6369999999999911,,
3,-20.580000000000005,0,0.4200000000000001,-21.0,2420,0,21,0,-0.42385000000000883,,
4,-20.400000000000006,0,0.6000000000000002,-21.0,3052,0,21,0,-1.4226575000000086,,
5,-20.52000000000001,0,0.48000000000000015,-21.0,2636,0,21,0,-2.3775246250000084,,
6,-0.4400000000000066,20.0,0.5600000000000002,-21.0,2879,1,21,0,-2.280648393750008,,
7,-0.46000000000000796,20.0,0.5400000000000001,-21.0,2862,1,21,0,-2.189615974062508,,
8,-0.38000000000001144,20.0,0.6200000000000002,-21.0,3113,1,21,0,-2.099135175359383,,
9,-20.560000000000006,0,0.4400000000000001,-21.0,2505,0,21,0,-3.022178416591414,,
10,-20.56000000000001,0,0.4400000000000001,-21.0,2473,0,21,0,-3.8990694957618435,,
11,-20.56000000000001,0,0.4400000000000001,-21.0,2481,0,21,0,-4.732116020973752,,
12,-20.460000000000008,0,0.5400000000000001,-21.0,2827,0,21,0,-5.518510219925065,,
13,-20.60000000000001,0,0.4000000000000001,-21.0,2348,0,21,0,-6.272584708928812,,
14,-20.500000000000007,0,0.5000000000000001,-21.0,2687,0,21,0,-6.9839554734823714,,
15,-0.42000000000000703,20.0,0.5800000000000002,-21.0,2999,1,21,0,-6.6557576998082535,,
16,-20.460000000000008,0,0.5400000000000001,-21.0,2715,0,21,0,-7.345969814817841,,
17,-20.44000000000001,0,0.5600000000000002,-21.0,2803,0,21,0,-8.000671324076949,,
18,-0.4400000000000044,20.0,0.5600000000000002,-21.0,2880,1,21,0,-7.622637757873101,,
19,-20.540000000000006,0,0.46000000000000013,-21.0,2571,0,21,0,-8.268505869979446,,
20,-20.580000000000005,0,0.4200000000000001,-21.0,2416,0,21,0,-8.884080576480473,,
21,-0.5800000000000054,20.0,0.4200000000000001,-21.0,2445,1,21,0,-8.46887654765645,,
22,-20.500000000000007,0,0.5000000000000001,-21.0,2768,0,21,0,-9.070432720273628,,
23,-20.42000000000001,0,0.5800000000000002,-21.0,2939,0,21,0,-9.637911084259947,,
24,-20.580000000000005,0,0.4200000000000001,-21.0,2418,0,21,0,-10.18501553004695,,
25,-0.5200000000000067,20.0,0.48000000000000015,-21.0,2662,1,21,0,-9.701764753544602,,
26,-20.44000000000001,0,0.5600000000000002,-21.0,2909,0,21,0,-10.238676515867372,,
27,-20.400000000000013,0,0.6000000000000002,-21.0,2967,0,21,0,-10.746742690074004,,
28,-20.480000000000008,0,0.5200000000000001,-21.0,2730,0,21,0,-11.233405555570304,,
29,-0.40000000000000746,20.0,0.6000000000000002,-21.0,2909,1,21,0,-10.691735277791787,,
30,-20.460000000000008,0,0.5400000000000001,-21.0,2837,0,21,0,-11.180148513902196,,
31,-20.60000000000001,0,0.4000000000000001,-21.0,2354,0,21,0,-11.651141088207087,,
32,-0.5800000000000054,20.0,0.4200000000000001,-21.0,2437,1,21,0,-11.097584033796732,,
33,-20.52000000000001,0,0.48000000000000015,-21.0,2544,0,21,0,-11.568704832106894,,
34,-20.540000000000006,0,0.46000000000000013,-21.0,2553,0,21,0,-12.01726959050155,,
35,-20.540000000000006,0,0.46000000000000013,-21.0,2539,0,21,0,-12.443406110976474,,
36,-20.540000000000006,0,0.46000000000000013,-21.0,2562,0,21,0,-12.84823580542765,,
37,-0.48000000000000576,20.0,0.5200000000000001,-21.0,2817,1,21,0,-12.229824015156268,,
