Epoch,Episodes,Total_Hits,Top_Edge,Center,Bottom_Edge,Edge_Hits,Edge_Percent,Avg_Angle
0,1-200,734,195,282,257,452,61.6,45.2
1,201-400,2231,634,888,709,1343,60.2,43.6
2,401-600,2758,695,1117,946,1641,59.5,43.2
3,601-800,2984,682,1179,1123,1805,60.5,43.2
4,801-1000,3135,680,1083,1372,2052,65.5,44.8
5,1001-1200,3435,712,1088,1635,2347,68.3,46.3
6,1201-1400,3345,792,873,1680,2472,73.9,49.1
7,1401-1600,3490,835,867,1788,2623,75.2,49.7
8,1601-1800,3633,821,828,1984,2805,77.2,50.8
9,1801-2000,3804,854,798,2152,3006,79.0,51.5
10,2001-2200,3766,1014,550,2202,3216,85.4,54.9
11,2201-2400,4022,1134,530,2358,3492,86.8,55.7
12,2401-2600,4210,1151,523,2536,3687,87.6,56.1
13,2601-2800,4229,1261,484,2484,3745,88.6,56.8
14,2801-3000,4626,1274,437,2915,4189,90.6,57.5
15,3001-3200,4581,1286,403,2892,4178,91.2,57.9
16,3201-3400,4812,1313,404,3095,4408,91.6,58.1
17,3401-3600,4874,1450,324,3100,4550,93.4,59.1
18,3601-3800,4880,1486,338,3056,4542,93.1,59.1
19,3801-4000,4917,1433,368,3116,4549,92.5,58.8
20,4001-4200,5099,1527,294,3278,4805,94.2,59.6
21,4201-4400,5170,1564,267,3339,4903,94.8,59.8
22,4401-4600,5103,1481,263,3359,4840,94.8,59.7
23,4601-4800,5201,1621,276,3304,4925,94.7,60.0
24,4801-5000,5202,1606,241,3355,4961,95.4,60.3
25,5001-5200,5321,1696,215,3410,5106,96.0,60.7
26,5201-5400,5384,1692,245,3447,5139,95.4,60.5
27,5401-5600,5449,1670,233,3546,5216,95.7,60.4
28,5601-5800,5318,1683,180,3455,5138,96.6,60.9
29,5801-6000,5468,1686,237,3545,5231,95.7,60.3
30,6001-6200,5481,1757,222,3502,5259,95.9,60.7
31,6201-6400,5525,1814,165,3546,5360,97.0,61.2
32,6401-6600,5325,1710,234,3381,5091,95.6,60.5
33,6601-6800,5486,1804,166,3516,5320,97.0,61.1
34,6801-7000,5555,1824,180,3551,5375,96.8,61.0
35,7001-7200,5613,1783,148,3682,5465,97.4,61.2
36,7201-7400,5449,1837,160,3452,5289,97.1,61.4
37,7401-7600,5538,1821,115,3602,5423,97.9,61.6
38,7601-7800,5472,1838,149,3485,5323,97.3,61.5
39,7801-8000,5695,1848,153,3694,5542,97.3,61.4
40,8001-8200,5729,1847,130,3752,5599,97.7,61.5
41,8201-8400,5769,1866,167,3736,5602,97.1,61.3
42,8401-8600,5791,1855,122,3814,5669,97.9,61.5
43,8601-8800,5689,1875,103,3711,5586,98.2,61.8
44,8801-9000,5727,1924,100,3703,5627,98.3,61.9
45,9001-9200,5847,1864,95,3888,5752,98.4,61.7
46,9201-9400,5874,1898,124,3852,5750,97.9,61.6
47,9401-9600,5788,1910,72,3806,5716,98.8,62.0
48,9601-9800,5771,1875,100,3796,5671,98.3,61.7
49,9801-10000,5812,1890,144,3778,5668,97.5,61.4
50,10001-10200,5875,1894,137,3844,5738,97.7,61.5
51,10201-10400,5849,1976,71,3802,5778,98.8,62.1
52,10401-10600,5875,1902,98,3875,5777,98.3,61.8
53,10601-10800,5820,1839,162,3819,5658,97.2,61.2
54,10801-11000,5791,1911,143,3737,5648,97.5,61.6
55,11001-11200,5810,1912,122,3776,5688,97.9,61.7
56,11201-11400,5812,1872,124,3816,5688,97.9,61.6
57,11401-11600,5804,1889,69,3846,5735,98.8,61.9
58,11601-11800,5840,1925,107,3808,5733,98.2,61.8
59,11801-12000,5836,1832,149,3855,5687,97.4,61.3
60,12001-12200,5729,1702,293,3734,5436,94.9,60.1
61,12201-12400,5881,1752,163,3966,5718,97.2,61.0
62,12401-12600,5947,1915,78,3954,5869,98.7,61.9
63,12601-12800,5663,1839,137,3687,5526,97.6,61.6
64,12801-13000,5940,1944,85,3911,5855,98.6,62.0
65,13001-13200,5964,1931,100,3933,5864,98.3,61.8
66,13201-13400,5933,1955,91,3887,5842,98.5,61.9
67,13401-13600,5948,1964,39,3945,5909,99.3,62.3
68,13601-13800,5877,1999,52,3826,5825,99.1,62.4
69,13801-14000,6030,1939,111,3980,5919,98.2,61.7
70,14001-14200,5914,1976,60,3878,5854,99.0,62.2
71,14201-14400,5926,1923,105,3898,5821,98.2,61.7
72,14401-14600,5807,2024,49,3734,5758,99.2,62.5
73,14601-14800,5919,1977,48,3894,5871,99.2,62.3
74,14801-15000,5821,1943,103,3775,5718,98.2,61.9
75,15001-15200,5957,1900,61,3996,5896,99.0,61.9
76,15201-15400,5866,1913,80,3873,5786,98.6,61.9
77,15401-15600,5930,1863,102,3965,5828,98.3,61.7
78,15601-15800,5853,1941,52,3860,5801,99.1,62.2
79,15801-16000,6032,1933,38,4061,5994,99.4,62.1
80,16001-16200,5940,1965,49,3926,5891,99.2,62.2
81,16201-16400,5900,1999,105,3796,5795,98.2,62.0
82,16401-16600,5975,2001,38,3936,5937,99.4,62.4
83,16601-16800,5898,1917,128,3853,5770,97.8,61.7
84,16801-17000,5924,1962,76,3886,5848,98.7,62.0
85,17001-17200,5891,1890,57,3944,5834,99.0,62.0
86,17201-17400,5955,1995,89,3871,5866,98.5,62.0
87,17401-17600,5993,1961,38,3994,5955,99.4,62.2
88,17601-17800,5929,1960,82,3887,5847,98.6,62.0
89,17801-18000,5914,1991,38,3885,5876,99.4,62.3
90,18001-18200,5967,1903,62,4002,5905,99.0,61.9
91,18201-18400,5922,1852,89,3981,5833,98.5,61.7
92,18401-18600,5919,1958,49,3912,5870,99.2,62.2
93,18601-18800,5978,1955,70,3953,5908,98.8,62.0
94,18801-19000,5994,1951,93,3950,5901,98.4,61.8
95,19001-19200,5998,1965,54,3979,5944,99.1,62.2
96,19201-19400,5971,1942,47,3982,5924,99.2,62.2
97,19401-19600,5985,1995,65,3925,5920,98.9,62.2
98,19601-19800,5882,2007,39,3836,5843,99.3,62.5
99,19801-20000,6046,1931,66,4049,5980,98.9,61.9
TOTAL,1-20000,535347,169153,23027,343167,512320,95.7,60.5
