Epoch,Episodes,Pos_0,Pos_1,Pos_2,Pos_3,Pos_4,Pos_5,Pos_6,Pos_7,Pos_8,Pos_9,Pos_10,Pos_11
0,1-200,125,77,3,84,9,92,6,94,15,89,35,143
1,201-400,380,211,16,245,28,285,25,309,39,277,80,335
2,401-600,472,311,21,301,52,355,15,390,47,337,79,355
3,601-800,459,212,15,384,74,377,14,431,52,436,71,405
4,801-1000,592,267,12,410,56,438,15,397,38,450,87,409
5,1001-1200,567,216,15,430,68,426,11,390,39,559,78,432
6,1201-1400,543,111,7,421,68,358,6,389,19,614,53,517
7,1401-1600,510,120,3,468,67,364,1,341,7,742,69,538
8,1601-1800,576,70,6,422,58,352,0,347,12,773,71,571
9,1801-2000,447,89,14,488,46,307,5,369,4,935,93,689
10,2001-2200,497,77,11,456,17,292,4,320,2,978,78,687
11,2201-2400,523,88,12,471,15,248,7,299,0,1059,68,665
12,2401-2600,646,50,1,457,16,247,0,209,0,1045,28,635
13,2601-2800,626,43,1,481,12,209,0,255,0,1096,48,717
14,2801-3000,606,39,0,468,16,231,0,247,0,1121,56,737
15,3001-3200,539,28,0,445,16,209,0,218,0,1190,38,776
16,3201-3400,635,29,0,475,13,216,0,190,0,1186,50,769
17,3401-3600,714,20,0,507,5,145,0,198,0,1240,25,826
18,3601-3800,719,11,5,546,2,117,2,207,1,1243,19,791
19,3801-4000,771,8,3,481,0,120,4,133,0,1325,11,832
20,4001-4200,807,4,0,493,1,94,0,128,0,1356,8,867
21,4201-4400,794,5,1,494,2,94,0,136,1,1327,10,850
22,4401-4600,810,2,2,531,0,82,0,121,0,1412,5,881
23,4601-4800,935,1,0,506,1,48,0,97,0,1403,0,969
24,4801-5000,923,1,1,465,0,52,0,40,0,1452,1,989
25,5001-5200,970,1,1,461,0,20,0,27,0,1501,0,1050
26,5201-5400,1072,0,0,419,2,33,0,29,0,1462,0,1038
27,5401-5600,1101,0,0,373,4,26,0,24,0,1434,0,1077
28,5601-5800,1105,0,0,415,3,20,0,18,0,1544,0,1145
